context_0,context_1,context_2,inter_scale,eff_visibility,main_effector_0,main_effector_1,main_effector_2,main_effector_3,main_effector_4,main_effector_5,main_effector_6,main_effector_7,main_effector_8,main_effector_9,main_effector_10
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.04426784968642053,0.0,0.04426784968642053,0.04426784968642053,0.0,0.0,0.0,0.0,0.0,0.04426784968642053,0.0,0.0,0.0,0.0,0.0
7,0.0,0.4879095679700409,0.0,0.4879095679700409,0.4879095679700409,0.0,0.0,0.0,0.0,0.0,0.4879095679700409,0.0,0.0,0.0,0.0,0.0
8,0.0,0.8624538712633025,0.0,0.8624538712633025,0.8624538712633025,0.0,0.0,0.044378970740515444,0.0,0.0,0.8624538712633025,0.0,0.0,0.0,0.0,0.0
9,0.0,0.9772857103157561,0.0,0.9772857103157561,0.9772857103157561,0.0,0.0,0.48913431744126856,0.0,0.0,0.9330178606293357,0.0,0.0,0.0,0.0,0.04426784968642053
10,0.0,0.9974960876234682,0.0,0.9974960876234682,0.9974960876234682,0.0,0.0,0.8202398302395433,0.0,0.0,0.5095865196534273,0.0,0.0,0.0,0.0,0.4879095679700409
11,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.4906045732085552,0.0,0.0,0.13754612873669736,0.0,0.0,0.0,0.0,0.8624538712633025
12,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.13538119901994133,0.0,0.0,0.022714289684243855,0.0,0.0,0.0,0.0,0.9330178606293357
13,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.022771307041775563,0.0,0.0,0.002503912376531775,0.0,0.0,0.0,0.0,0.5095865196534273
14,0.0,0.9557321503135794,0.0,0.9557321503135794,0.9557321503135794,0.0,0.0,0.002510197691599312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13754612873669736
15,0.0,0.5120904320299591,0.0,0.5120904320299591,0.5120904320299591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022714289684243855
16,0.0,0.13754612873669736,0.0,0.13754612873669736,0.13754612873669736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002503912376531775
17,0.0,0.022714289684243855,0.04426784968642053,0.06698213937066438,0.06698213937066438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04426784968642053
18,0.0,0.002503912376531775,0.4879095679700409,0.4904134803465727,0.4904134803465727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4879095679700409
19,0.0,0.0,0.8624538712633025,0.8624538712633025,0.8624538712633025,0.0,0.0,0.0,0.0,0.0,0.04426784968642053,0.0,0.04426784968642053,0.0,0.0,0.8181860215768821
20,0.0,0.0,0.9772857103157561,0.9772857103157561,0.9772857103157561,0.0,0.0,0.0,0.0,0.0,0.4879095679700409,0.0,0.4879095679700409,0.0,0.0,0.4893761423457152
21,0.0,0.0,0.9974960876234682,0.9974960876234682,0.9974960876234682,0.0,0.0,0.0,0.0,0.0474458759627186,0.8181860215768821,0.0,0.8181860215768821,0.0,0.0,0.13504221636016558
22,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5229370074876574,0.4893761423457152,0.0,0.4893761423457152,0.0,0.0,0.022714289684243855
23,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.876924286342174,0.13504221636016558,0.04426784968642053,0.13504221636016558,0.0,0.0,0.002503912376531775
24,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5245088684750612,0.022714289684243855,0.4879095679700409,0.022714289684243855,0.0,0.0,0.0
25,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1447370110032807,0.002503912376531775,0.8624538712633025,0.002503912376531775,0.0,0.0,0.0
26,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.024344967703965173,0.0,0.9772857103157561,0.0,0.0,0.0,0.0
27,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0026836703585104422,0.0,0.9974960876234682,0.0,0.0,0.0,0.0
28,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,0.0,0.0,1.0,0.9557321503135794,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9557321503135794,0.0,0.044378970740515444,0.0,0.0
31,0.0,0.0,1.0,0.5120904320299591,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5120904320299591,0.0,0.48913431744126856,0.0,0.0
32,0.0,0.0,1.0,0.13754612873669736,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13754612873669736,0.0,0.8646188009800586,0.0,0.0
33,0.0,0.0,1.0,0.022714289684243855,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022714289684243855,0.0,0.9797388906498238,0.0,0.0
34,0.0,0.0,1.0,0.002503912376531775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002503912376531775,0.0,1.0,0.0,0.0
35,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04426784968642053,0.0,0.9581312269510839,0.04426784968642053,0.0
36,0.0,0.0,1.0,0.04426784968642053,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4436417182836204,0.04426784968642053,0.5133758802503308,0.4879095679700409,0.0
37,0.0,0.0,1.0,0.4879095679700409,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37454430329326166,0.4879095679700409,0.13789139671154066,0.8181860215768821,0.0
38,0.0,0.0,0.9557321503135794,0.8181860215768821,0.9557321503135794,0.0,0.0,0.0,0.0,0.0,0.0,0.11483183905245352,0.8181860215768821,0.022771307041775563,0.4893761423457152,0.0
